deserve	 -할 만하다
angle	각
each	각각의
respective	각각의
triangle	각형
liver	간
interval	간격
interfere	간섭하다
hepatitis	간염
tickle	간지르다
appeal	간청하다
detect	간파하다
hook	갈고리
grind	갈다
gap	갈라진 틈
brown	갈색의 갈색
thirst	갈증
cheer	갈채
applaud	갈채를 보내다
sense	감각
sensation	감각
supervise	감독하다
admire	감복하다
gratitude	감사
thank	감사하다 감사
appreciate	감상하다
decrease	감소하다
diminish	감소하다
infect	감염시키다
potato	감자
emotion	감정
hide	감추다
abruptly	갑자기, 퉁명스럽게
deck	갑판
price	값, 가격, 대가, 정가
costly	값비싼
valuable	값비싼
cheap	값싼
baby	갓난아이, 막내   관심사, 골치아픈 일,
river	강
drastic	강력한, 과감함
intense	강렬한
precipitation	강수량
puppy	강아지
discourse	강연
rainfall	강우량
lecture	강의
press	강제로 모집하다
constrain	강제하다
emphasis	강조
emphasize	강조하다
highlight	강조하다
steel	강철
bang	강타
blow	강타
rob	강탈하다, 약탈하다, 빼앗다
strong	강한
intensify	강화하다
strengthen	강화하다
equate	같게하다
same	같은
equal	같은
together	같이
likewise	같이, 마찬가지로
dog	개
frog	개구리
concept	개념
ant	개미
improvement	개선
improve	개선하다
personality	개성
individual	개인
amendment	개정
reform	개정(개혁)하다
pioneer	개척자
session	개회
objective	객관적인
objectify	객관화하다
salon	객실
renew	갱신하다
there	거기에
adverse	거꾸로의
huge	거대한
enormous	거대한
gigantic	거대한
transaction	거래
street	거리
livingroom	거실
mirror	거울
almost	거의
scarcely	거의 ~않다.
hardly	거의 -아니다
seldom	거의-하지 않는
barely	거의-하지 않는, 간신히
giant	거인
refuse	거절하다
reject	거절하다
dwelling	거주, 거처
resident	거주자
dwell	거주하다
reside	거주하다
false	거짓
harsh	거친
rough	거친
foam	거품
bubble	거품 거품이 일다
care	걱정
anxious	걱정되는
worrisome	걱정스러운
health	건강
checkup	건강검진
construct	건조하다
hay	건초더미
architecture	건축
architect	건축가
step	걷다
walk	걷다
kick	걷어차다
bet	걸다
hang	걸다
masterpiece	걸작
inspect	검사하다
censor	검열관
black	검은
terrify	겁나게 하다
shell	겉껍질
seemingly	겉보기에
besides	게다가,~외에
lazy	게으른
neglect	게을리 하다
aim	겨누다
contest	겨루다
rage	격노
shock	격돌
violent	격렬한, 맹렬한
combat	격투하다
nut	견과
endure	견디다
containment	견제, 억제
effect	결과
result	결과
outcome	결과
consequence	결과
eventually	결국
conclusion	결론
bond	결속
deficit	결손
goal	결승점
fault	결점
defect	결점
decision	결정
crucial	결정적인
decide	결정하다
conclude	결정하다
determine	결정하다
never	결코 -아니다
lack	결핍
want	결핍
deficiency	결핍
defective	결함이 있는
union	결합
fusion	결합
join	결합하다
unite	결합하다
combine	결합하다
marry	결혼하다
humble	겸손한
modest	겸손한
overlap	겹치다
boundary	경계
warn	경고하다
career	경력
auction	경매
guard	경비원, 지키다
case	경우
occasion	경우
marvel	경이
wonder	경이
cultivate	경작하다
rival	경쟁자 경쟁하는 경쟁하다
compete	경쟁하다
police	경찰 경비하다
listen	경청하다
celebrate	경축하다
scenery	경치
inclination	경향, 기울어짐
experience	경험
suffer	경험하다
by	곁에
aside	곁에
class	계급
stairs	계단
terrace	계단모양의 뜰(광장)
count	계산
bill	계산서
counter	계산하는 사람
calculate	계산하다
continuous	계속되는
continual	계속적인
keep	계속하다
last	계속하다
continue	계속하다
maintain	계속하다
contract	계약
season	계절
hierarchy	계층, 계급
plan	계획
scheme	계획
customer	고객
archaeologist	고고학자
noble	고귀한
altitude	고도
solitary	고독을 즐기는
whale	고래
choose	고르다
select	고르다
ring	고리
isolation	고립, 고독
isolate	고립시키다
grateful	고맙게 생각하는
torture	고문
accuse	고발하다
trouble	고생
adhere	고수하다
device	고안
devise	고안하다
improvise	고안하다
cat	고양이
hire	고용하다
employ	고용하다
proper	고유의, 독특한, 본연의,  특유한
classic	고전의
fixture	고정 세간, 붙박이
fix	고정시키다
bore	고조
persist	고집하다
solid	고체의
pepper	고추
heal	고치다
rectify	고치다, 바로잡다
ache	고통
pain	고통
tackle	고패
yell	고함치다
tune	곡
grain	곡물
curve	곡선
hardship	곤란
difficult	곤란한
insect	곤충
straight	곧은
antique	골동품
alley	골목길
valley	골짜기
curl	곱슬머리 머리털을 지지다
ball	공
space	공간
forum	공개토론회
aggression	공격,침략
attack	공격하다
supply	공급하다
furnish	공급하다
air	공기
community	공동생활체
collaborate	공동으로 일하다
elaborate	공들인
ideology	공리
global	공모양의
officer	공무원
official	공무원
blank	공백
communist	공산주의자
fancy	공상
polite	공손한
formula	공식
industry	공업
park	공원
factory	공장
fair	공평한
horror	공포
airport	공항
republic	공화국
cape	곶
past	과거
pastime	과거
target	과녁
curriculum	과목
extracurricular	과외의, 정규 과목 이외의
fruit	과일
exaggerated	과장된
exaggerate	과장하다
assignment	과제, 할당
overweight	과체중의
science	과학
tube	관
irrigation	관개
regardless	관계없이
concern	관계하다
tourism	관광 사업
attraction	관광명소
idea	관념
relevant	관련된
convention	관례
manage	관리하다
administer	관리하다
shrub	관목
temple	관자놀이
viewpoint	관점
aspect	관점, 면, 측면
observe	관찰하다
locate	관청 등을 두다
pierce	관통하다
orchestra	관현악단
sight	광경
spectacle	광경
advertise	광고하다
generous	광대한
extensive	광대한
vast	광대한, 광막한 막대한
mineral	광물
extensively	광범위하게
mine	광산, 채굴하다
miner	광산업자
beam	광선
tease	괴롭히다
bother	괴롭히다 근심하다 귀찮음
monster	괴물
boom	굉음
textbook	교과서
jail	교도소
prison	교도소
disturb	교란하다
negotiate	교섭하다
professor	교수
classroom	교실
suburb	교외
outskirt	교외, 변두리
education	교육
educate	교육하다
revise	교정하다
company	교제
intersection	교차로(점)
traffic	교통
symphony	교향곡
exchange	교환하다
cunning	교활한
fox	교활한 사람
church	교회
phrase	구
sphere	구
premises	구내, 건물(내)
shoe	구두
oral	구두의
roll	구르다
cloud	구름
cooper	구리
hole	구멍
distinguish	구별하다.
distinctively	구별하여, 특징적으로
flexible	구부리기 쉬운
bend	구부리다
component	구성하는 성분
compose	구성하다
constitute	구성하다
salvation	구원,구제
frame	구조
structure	구조
concrete	구체적인 응고물
relieve	구출하다
rescue	구하다
chant	구호(성가)
nation	국가
confine	국경
phase	국면
premier	국무 총리, 수상
international	국제적인
military	군의
soldier	군인
crowd	군중
firm	굳은
stiff	굳은
tumble	굴러 떨어지다
starve	굶어 죽다
hunger	굶주림
bake	굽다
palace	궁전
authority	권위, 정부 당국
offer	권하다
cigarette	궐련
bin	궤
orbit	궤도
ear	귀
lady	귀부인
cute	귀여운
darling	귀여운
tattoo	귀영나팔
annoy	귀찮게하다
regulate	규정하다
stipulate	규정하다
rule	규칙
regular	규칙적인
rally	규합하다
balance	균형
instead	그 대신에
else	그 밖에
moreover	그 위에
it	그것은
she	그녀는
shade	그늘
meanwhile	그동안
meantime	그동안 그 사이에
they	그들
then	그때
but	그러나 다만 (-을)제외하고
gather	그러모으다
hence	그러므로
therefore	그런 까닭에
nevertheless	그럼에도 불구하고
graphic	그려 놓은 듯한
band	그룹
vessel	그릇
picture	그림
shadow	그림자
cease	그만두다 그치다 중지
net	그물
network	그물세공
so	그와 같이
extreme	극단의
dramatic	극적인, 연극의
microwave	극초단파 전자레인지로 요리하다
diligent	근면한
radical	근본적인, 급진적인
anxiety	근심
worry	근심하다
muscle	근육
proximity	근접
flaw	금
gold	금
metal	금속
money	금전
ban	금지
forbid	금하다
inhibit	금하다
prohibit	금하다, 금지하다
haste	급함
flag	기
term	기간
machine	기계
mechanical	기계의
balloon	기구
implement	기구
instrument	기구
famine	기근
fund	기금
willing	기꺼이 하는
willingly	기꺼이, 자진해서
memorial	기념비
monument	기념비
anniversary	기념일 예년의
souvenir	기념품
agency	기능
function	기능
creep	기다
scramble	기다
wait	기다리다
await	기다리다
expectation	기대
lean	기대다
expect	기대하다
post	기둥
workmanship	기량, 솜씨
note	기록
register	기록
archive	기록보관소
record	기록하다
breed	기르다
foster	기르다
oil	기름
fry	기름으로 튀기다
giraffe	기린
confidentiality	기밀성
basic	기본의
elementary	기본의
contribute	기부하다
pleasant	기분 좋은
please	기쁘게 하다
glad	기쁜
bliss	기쁨
engineer	기사
meteorological	기상의
dormitory	기숙사
describe	기술하다
climb	기어 오르다
memory	기억
remember	기억하고 있다
entrepreneurship	기업가 정신
decline	기울다
tilt	기울이다
incline	기울이다
origin	기원
miracle	기적
stun	기절시키다
faint	기절하다
criterion	기준
endowment	기증, 기부
wit	기지
temper	기질
train	기차
base	기초
basis	기초
basement	기초
foundation	기초
fundamental	기초(기준)의
cough	기침 기침을 하다 기침을 하여 -을 뱉어내다
geometry	기하학
opportunity	기회
enterprise	기획
climate	기후
urgent	긴급한
tension	긴장
way	길
road	길
route	길
patch	깁는 헝겊
feather	깃털
plume	깃털장식
deep	깊은
profound	깊은, 심원한
till	-까지
until	-까지
shave	깎다
sheet	깔천
amaze	깜짝 놀라게 하다
startle	깜짝놀라게 하다
remark	깨닫다
realise	깨닫다
realize	깨닫다
fragile	깨어지기 쉬운
awake	깨우다
awaken	깨우다
extinct	꺼진
peel	껍질을 벗기다 벗어지다 껍질
leap	껑충 뛰다
tail	꼬리
twist	꼬이다
pinch	꼬집다
hug	꼭 껴안다
summit	꼭대기
bound	꼭-해야 할, 뛰어오르다
meticulously	꼼꼼하게
flower	꽃
slam	꽝하는 소리
induce	꾀다
pack	꾸러미
scold	꾸짖다 잔소리 심한 사람
bee	꿀벌
dream	꿈
sew	꿰매다
nod	끄덕이다
string	끈
persistence	끈덕짐, 고집
drag	끌다
pull	끌다, 당기다, 끌어 당기다, 잡아 끌다
attract	끌어 당기다
lift	끌어올리다
boil	끓다
end	끝
tip	끝
finish	끝내다
terminate	끝내다
edge	끝머리
insert	끼워넣다
divide	나누다
I	나는, 내가
country	나라
ferry	나루터
bear	나르다
carry	나르다
convey	나르다
tree	나무
condemn	나무라다
stick	나무토막
bad	나쁜
wrong	나쁜
screw	나사
advance	나아가다
proceed	나아가다, 가다
emerge	나오다
elderly	나이가 지긋한
knife	나이프
appear	나타나다
reveal	나타내다
disclose	나타내다
optimistic	낙관적인
dairy	낙농장
dismay	낙담시키다
discourage	낙담시키다, 단념시키다
paradise	낙원
optimist	낙천가
disorder	난잡
embarrass	난처하게 하다
wreck	난파
stack	낟가리
wing	날개
raw	날것의
flight	날기
fly	날다
weather	날씨
date	날짜
keen	날카로운
acute	날카로운
sharp	날카로운
polar	남극의
leave	남기고가다
remain	남다
pan	남비 사금 등을 남비로 가려내다
male	남성의
abuse	남용
leftover	남은 음식
privacy	남의 눈을 피함, 은거, 은둔, 은퇴 생활 사생활
man	남자
south	남쪽 남쪽의 남으로
husband	남편 절약하다
extravagant	낭비벽이 있는
waste	낭비하다
day	낮
low	낮은
nap	낮잠
word	낱말
generate	낳다
overlook	내려다 보다
descend	내려오다
dump	내버리다
internal	내부의
tomorrow	내일(은)
expel	내쫒다
contain	내포하다
smell	냄새
cynical	냉소적인
fridge	냉장고
refrigerator	냉장고
legnthy	너무 긴, 장황한
widespread	널리 보급되어 있는
board	널빤지
spacious	넓은
extent	넓이
surrender	넘겨주다
exceed	넘다
overflow	넘쳐흐르다
crawl	네발로 기다
guy	녀석
labor	노동
labour	노동
workforce	노동력
song	노래
sing	노래하다
effort	노력
strive	노력하다
veteran	노련가, 경험 많은 대가, 베테랑
slave	노예 노예처럼 일하다
irritate	노하게 하다
furious	노하여 펄펄뛰는
melt	녹다
controversial	논란의
logic	논리학
controversy	논쟁
dispute	논쟁하다
theme	논제
comment	논평
argue	논하다
play	놀다
alarm	놀라게 하다
astonish	놀라게 하다
surprise	놀람
basketball	농구
joke	농담
peasant	농부
agriculture	농업
farm	농장
high	높은
height	높이
put	놓다, 두다
brain	뇌
who	누구
eye	눈
snow	눈 눈이 내리다
blind	눈먼
tear	눈물
frown	눈살을 찌푸리다
eyebrow	눈썹
striking	눈에 띄는
conspicuous	눈에 띄는
outstanding	눈에 띄는
noticeable	눈에 띄는, 현저한
visible	눈에 보이는,  볼 수 있는
crush	눌러 부수다
lie	눕다
lay	눕히다
slow	느린
always	늘
increase	늘다
obsess	늘러붙다
multiply	늘리다
prolong	늘리다, 연장하다
old	늙은
faculty	능력
competent	능력있는
efficient	능률적인
proficient	능숙한
late	늦은
delay	늦추다
relax	늦추다
nice	니스(프랑스 남부의 항구도시)
numerous	다 수의, 수많은, 셀 수 없이 많은
exhaust	다 써버리다
approach	다가가다
forthcoming	다가오는
attic	다락
differ	다르다.
different	다른
other	다른 다른 것 그렇지 않고
distinct	다른, 뚜렷한
leg	다리
bridge	다리
alone	다만 홀로(혼자서)
bundle	다발
packet	다발
govern	다스리다
again	다시
resume	다시 잡다
variety	다양성
diverse	다양한
versatile	다용도의
next	다음의
subsequent	다음의, 그후의
perform	다하다
random	닥치는 대로의
wipe	닦다
polish	닦다, 갈다, 윤내다
sweet	단
platform	단
single	단 하나의
patronize	단골로 삼다
college	단과대학
hard	단단한
tight	단단한
tough	단단한
fasten	단단히 고정시키다
clue	단서
mere	단순한
brief	단시간의
assert	단언하다
protest	단언하다
unit	단위
simple	단일의
monotonous	단조로운
pot	단지
merely	단지
button	단추 단추를 채우다 단추로 채워지다
determined	단호한, 단단히 결심한
shut	닫다
close	닫다
moon	달
calendar	달력
run	달리다
flee	달아나다
lunar	달의
resemble	닮다
dip	담그다
soak	담그다
tobacco	담배
blanket	담요
carrot	당근
draw	당기다
diabetes	당뇨병
you	당신
puzzle	당황, 혼란 괴롭히는 사람,  어려운 문제
bewilder	당황하게 하다
anchor	닻
touch	닿다
troop	대
expertise	대가의 의견
atmosphere	대기
majority	대다수
immensely	대단히, 엄청나게
bold	대담한
answer	대답
reply	대답하다
respond	대답하다
highway	대도
approximately	대략
agent	대리인
bald	대머리의
spokesperson	대변인
loan	대부
ambassador	대사
embassy	대사관
cathedral	대성당
for	대신에
basin	대야,접시
ocean	대양
substitute	대용하다 대신하다 대리(인)
treat	대우하다
contrast	대조
president	대통령 회장
representative	대표자, 대표하는
dialogue	대화
converse	대화하다
dance	댄스
dam	댐
dirty	더러운
stain	더럽히다
furthermore	더우기
plus	더하기의 -외에
alright	더할나위없이
virtue	덕, 덕행, 선, 선행
cast	던지다
toss	던지다
pitch	던지다
throw	던지다
bush	덤불
snap	덥석 물다
lump	덩어리
mass	덩어리
block	덩어리
trap	덫
cover	덮다
obscure	덮어 감추다
database	데이터베이스
degree	도
also	-도 또한
nor	-도 또한-않다
pottery	도기
ethical	도덕상의
moral	도덕의
thief	도둑
paint	도료
escape	도망하다
wholesale	도매의
gamble	도박하다 도박 도박해서 잃다
crash	도산
slaughter	도살
library	도서관
city	도시
urban	도시의
skip	도약
ceramic	도예,도자기
aid	도와 주다
release	도와주다
introduction	도입
stamp	도장
challenge	도전
reach	도착하다
arrive	도착하다
poison	독
independent	독립한
toxic	독의
solo	독주
stone	돌
dolphin	돌고래
turn	돌리다
return	돌아가다
panic	돌연한공포
dash	돌진
rush	돌진하다
blast	돌풍
help	돕다
assist	돕다
coordinate	동격의
cave	동굴 굴을 파다 꺼지다
motive	동기
motivate	동기를 부여하다.
peer	동료
colleague	동료
companion	동료
co-worker	동료
ally	동맹하다
fellow	동무
animal	동물
zoo	동물원
accompany	동반하다
simultaneous	동시에 일어나는(존재하는)
while	동안 -하는 동안
during	-동안에
orient	동양 동양의 동쪽으로 향하게 하다
agree	동의하다
identify	동일시하다
dynamic	동적인
sympathy	동정
compassion	동정
east	동쪽 동쪽의 동쪽으로
sail	돛
canvas	돛베
pig	돼지
pork	돼지고기
replace	되돌려 놓다
recall	되부르다
recover	되찾다
twice	두 번
twofold	두 부분의
pound	두근거리다
thick	두꺼운
markedly	두드러지게
prominet	두드러진
prominent	두드러진, 돌기한, 양각된 현저한, 탁월한, 중요한
awful	두려운
fearful	두려운
fear	두려움
dread	두려워하다 두려움
afraid	두려워하여
boss	두목
headache	두통
bank	둑
dull	둔한
survey	둘러보다
perimeter	둘레
dual	둘의
round	둥근 원 돌아서
rear	뒤
boost	뒤를 밀기
behind	뒤에
upset	뒤집어 엎다
latter	뒤쪽의
score	득점
hear	듣다
field	들
enter	들어가다
entry	들어감
back	등
lamp	등
grade	등급
etc	등등
enrollment	등록
settle	등받이가 높은 긴 의자 놓다
design	디자인
pick	따다
warm	따뜻한
accordingly	따라서
reserve	따로 두다
obey	따르다
pour	따르다
otherwise	딴 방법으로는
daughter	딸
strawberry	딸기
sweat	땀
ground	땅
time	때
belated	때늦은
dismiss	떠나게 하다
drift	떠돌다
undertake	떠맡다
sustain	떠받치다
tremble	떨다
off	떨어져
away	떨어져서
apart	떨어져서
fall	떨어지다
distant	떨어진
cluster	떼
raft	뗏목
another	또 하나
erect	똑바로 선
lid	뚜껑
hop	뛰다
excel	뛰어나다
superior	뛰어난
dive	뛰어들다
plunge	뛰어들다, 빠지다
bounce	뛰어오르다
hot	뜨거운
float	뜨다
garden	뜰
accident	뜻밖의 사건
label	라벨
to	-로
pope	로마 교황  최고 권위자로 자처하는 사람
harness	마구
sack	마대
floor	마룻바닥
dry	마른
paralyze	마비시키다
drink	마시다
village	마을, 촌락
mind	마음
favorite	마음에 드는 좋아하는 물건
mental	마음의
reluctant	마음이 내키지 않는
rub	마찰하다
hinder	막다, 방해하다
prevent	막다, 방해하다
rod	막대
bar	막대기
vague	막연한
bay	만
gulf	만
make	만들다
institute	만들다
chronic	만성의
if	만일 -이라면
contingency	만일의 사태
feel	만져보다
satisfy	만족시키다
content	만족하여
many	많은
much	많은
plenty	많음
horse	말
verbalize	말로 나타내다
tidy	말쑥한
involve	말아넣다
address	말을 걸다
linguistic	말의
verbal	말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된
say	말하다
talk	말하다
tell	말하다
mention	말하다
clear	맑은
taste	맛
rubber	맛사지사
delicious	맛있는
telescope	망원경
spoil	망쳐놓다
hammer	망치
fit	맞는
adjust	맞추다
assume	맡다, 취하다
smooth	매끄러운
tie	매다
bind	매다
suspend	매달다
knot	매듭(=tie)
charm	매력
landfill	매립지
trade	매매
bargain	매매
very	매우
beloved	매우 사랑하는
priceless	매우귀중한
pulse	맥박
beer	맥주
vow	맹세
swear	맹세하다
head	머리
duck	머리를 물 속에 쑥 쳐박다
overhead	머리위에 머리 위의
headline	머릿기사,표제
stay	머무르다
eat	먹다
prey	먹이
remote	먼
faraway	먼
dust	먼지
dirt	먼지, 때
far	멀리
stop	멈추다
halt	멈춰서다
dumb	멍청한,벙어리의
echo	메아리
mill	멧돌
immune	면역성의
area	면적
waive	면제하다, 포기하다
rid	면하게하다
licence	면허
license	면허
extinction	멸종
extinctions	멸종
command	명령하다
mandate	명령하다, 요구하다
prescribe	명령하다, 지령하다
evident	명백한
obvious	명백한
apparent	명백한
explicit	명백한
manifest	명백히 하다
enrol	명부에 올리다
enroll	명부에 올리다
meditation	명상
fame	명성
celebrity	명성
specify	명시하다
honor	명예
honour	명예
hit	명중하다
positive	명확한, 의문의 여지가 없는, 부정할 수 없는
all	모든
every	모든
sand	모래사장
pattern	모범
contradiction	모순, 반박
figure	모습
form	모양
shape	모양
insult	모욕하다
collect	모으다
assemble	모으다
cap	모자
fake	모조품
corner	모퉁이
fur	모피
venture	모험
adventure	모험 모험하다
vaguely	모호하게, 막연히
neck	목
throat	목
cowboy	목동
vocal	목소리
voice	목소리, 음성, 음성
bath	목욕
boot	목이 긴 구두
ranch	목장
lumber	목재
purpose	목적
destination	목적지
cotton	목화
share	몫
sneak	몰래 움직이다
urge	몰아대다
gesture	몸짓
pond	못, 연못
depict	묘사하다
cemetery	묘지
odd	묘한
heavy	무거운
weight	무게
weigh	무게를 달다
indifferent	무관심한
innocent	무구한
weapon	무기
stage	무대
grave	무덤
leather	무두질한 가죽
insolent	무례한
discourteous	무례한
complimentary	무료의, 칭찬하는
lap	무릎
knee	무릎
kneel	무릎을 꿇다
flock	무리
herd	무리. 떼
awesome	무서운
terrific	무서운
tremendous	무서운
frighten	무섭게 하다.
horrible	무시무시한
terrible	무시무시한
ignore	무시하다
what	무엇 무슨
no	무의
weightlessness	무중력
ignorance	무지
rainbow	무지개
immense	무한한
infinite	무한한
intangible	무형의
door	문
gate	문
context	문맥
civilization	문명
literal	문자의
sentence	문장
problem	문제
issue	문제[쟁점]/호/발행/발표하다
literature	문학
literary	문학의
culture	문화
ask	묻다
bury	묻다
enquire	묻다
inquire	묻다
water	물
shore	물가
thing	물건
wave	물결
fish	물고기
bite	물다
dye	물들이다
withdraw	물러나다
physics	물리학
drip	물방울을 떨어뜨리다
drown	물에빠뜨리다
question	물음, 질문, 질의
sophisticated	물정에 닳고 닳은
matter	물질
substance	물질
physical	물질의
article	물품
land	뭍
slide	미끄러지다
future	미래
widow	미망인
subtle	미묘한
delicate	미묘한
missile	미사일
smile	미소짓다 미소
superstition	미신
hate	미워하다
mummy	미이라
aesthetic	미적인
mad	미친
crazy	미친
breeze	미풍
miss	미혼 여성 실수하다
sensitive	민감한
democracy	민주주의
democrat	민주주의자
popular	민중 의, 대중의
rely	믿다
believe	믿다
incredible	믿을 수 없는
credible	믿을 수 있는
belief	믿음, 신념
wheat	밀
push	밀다, 밀치다, 밀어서 움직 이다, 밀어 내다
implication	밀접한 관계, 관련, 암시
cling	밀착하다
and	및
bottom	밑바닥
undermine	-밑을 파다
basket	바구니
vary	바꾸다
alter	바꾸다
convert	바꾸다
displace	바꾸어놓다
needle	바늘 바늘로 꿰매다 바느질하다 아슬아슬한
sea	바다
marine	바다의
wish	바라다
desire	바라다
wind	바람
desirable	바람직한
fade	바래다
fool	바보
busy	바쁜
rock	바위
pants	바지
glitter	바짝이다
devote	바치다
wheel	바퀴
museum	박물관
doctor	박사
smash	박살내다
out	밖으로
half	반
contrary	반대의 반대 거꾸로
hostile	반대하는
oppose	반대하다
peninsular	반도
imperative	반드시 해야 하는
contradict	반박하다
repeat	반복하다
reflect	반사하다
irony	반어
ironic	반어적인
rebel	반역자
react	반응을 나타내다
sparkle	반짝이다
restore	반환하다
receive	받다
admit	받아들이다
grant	받아들이다
accept	받아들이다
dictate	받아쓰게 하다
reception	받음
foot	발
toe	발가락
naked	발가벗은
discovery	발견
find	발견하다
discover	발견하다
develop	발달하다
heel	발뒤꿈치
vivid	발랄한, 약동적인, 힘찬, 생기있는
invent	발명하다
ankle	발목
incidence	발생정도, 범위
pronounce	발음하다, 음독하다
trace	발자국
publish	발표 하다, 널리 알리다
express	발표하다
fermentation	발효
bright	밝은
uncover	밝히다
night	밤
cord	밧줄
room	방
chamber	방
vastly	방대하게, 대단히
visit	방문하다, …의 손님으로 묵다
mode	방법
manner	방법
method	방법
emit	방사하다
broadcast	방송하다
trigger	방아쇠 재빠른
defence	방어
defense	방어
defend	방어하다
drop	방울
shield	방패
check	방해
obstruct	방해하다
trend	방향
boat	배
ship	배
background	배경
hungry	배고픈
aboard	배로
betray	배반하다
compensate	배상하다
endorsement	배서, 보증
drain	배수하다
jury	배심
dispose	배열하다
learn	배우다
spouse	배우자
exclude	배척하다
emission	배출
outlet	배출구
exclusively	배타적으로
exclusive	배타적인
bat	배트
encyclopedia	백과사전
million	백만
millionaire	백만장자
daydream	백일몽
snake	뱀
struggle	버둥거리다
rude	버릇없는
desert	버리다
abandon	버리다
discard	버리다
mushroom	버섯
version	번역, 번역문 개작, 각색, 번안
translate	번역하다
prosperous	번영하는, 번창한
prosper	번영하다
glare	번쩍이는 빛
flash	번쩍임
flourish	번창하다
penalty	벌
bare	벌거벗은
honey	벌꿀
bug	벌레
punish	벌하다, 응징하다, 처형하다
scope	범위
crime	범죄
category	범주
perpetrate	범하다, 저지르다
law	법률
lawyer	법률가
legal	법률상의
legislate	법률을 제정하다
corporate	법인조직의
code	법전
court	법정, 경기장
strip	벗기다
cut	베다
wall	벽
brick	벽돌
closet	벽장
mural	벽화
modify	변경하다
fluctuation	변동
excuse	변명
reimburse	변상하다, 환급하다
disguise	변장하다
transition	변천
variable	변하기 쉬운
transform	변형(변용,변태)시키다
attoney	변호사
advocate	변호사
attorney	변호사
change	변화
sudden	별안간의
bottle	병
disease	병
sickness	병
sick	병난
ill	병든
warrior	병사
clinic	병원
hospital	병원
screen	병풍
reinforce	보강하다
report	보고
nest	보금자리
example	보기
extrairdinary	보기 드문, 탁월한
send	보내다
transmit	보내다
see	보다
look	보다
outpace	보다 속도가 빠르다
above	-보다 위에
than	-보다도
coverage	보도,보상,적용범위
treasure	보물
compensation	보상
reward	보수
complement	보완하는 것
retain	보유하다
show	보이다
display	보이다
exhibit	보이다
conserve	보존하다
insure	보증하다
guarantee	보증하다
warrant	보증하다 보증
assure	보증하다, 안심시키다
ordinary	보통의
pedestrian	보행자
